VALUE,Fuelfuelload,SAV,Packingratio,moisture,R,G,B,FBFM40
91,0,0,0,0,187,188,190,NB1
92,0,0,0,0,205,207,197,NB2
93,0,0,0,0,56,63,56,NB3
98,0,0,0,0,100,102,103,NB8
99,0,0,0,0,170,134,88,NB9
101,0.4,2054,0.00143,15,109,100,94,GR1
102,1.1,1820,0.00158,15,100,102,79,GR2
103,1.6,1290,0.00143,30,110,81,59,GR3
104,2.15,1826,0.00154,15,149,141,70,GR4
105,2.9,1631,0.00277,40,153,115,89,GR5
106,3.5,2006,0.00335,40,151,124,72,GR6
107,6.4,1834,0.00306,15,158,123,83,GR7
108,7.8,1302,0.00316,30,136,143,62,GR8
109,10,1612,0.00316,40,171,163,116,GR9
121,1.35,1832,0.00215,15,184,118,67,GS1
122,2.1,1827,0.00249,15,118,133,78,GS2
123,3,1614,0.00259,40,186,154,83,GS3
124,12.4,1674,0.00874,40,67,79,48,GS4
141,1.7,1674,0.0028,15,106,108,78,SH1
142,5.2,1672,0.001198,15,85,76,58,SH2
143,6.65,1371,0.00577,40,97,95,60,SH3
144,3.4,1682,0.00227,30,170,175,155,SH4
145,6.5,1252,0.00206,15,137,139,108,SH5
146,4.3,1144,0.00412,30,152,138,89,SH6
147,6.9,1233,0.00344,15,84,88,69,SH7
148,6.4,1386,0.00509,40,79,92,57,SH8
149,13.05,1378,0.00505,40,70,89,55,SH9
161,1.3,1606,0.00885,20,173,170,144,TU1
162,1.15,1767,0.00603,30,135,129,104,TU2
163,2.85,1611,0.00359,30,138,141,78,TU3
164,6.5,2216,0.01865,12,63,60,59,TU4
165,7,1224,0.02009,25,90,101,65,TU5
181,1,1716,0.04878,30,98,91,74,TL1
182,1.4,1806,0.04232,25,131,113,89,TL2
183,0.5,1532,0.0263,20,102,101,81,TL3
184,0.5,1568,0.02224,25,117,118,100,TL4
185,1.15,1713,0.01925,25,110,110,89,TL5
186,2.4,1936,0.02296,25,125,108,89,TL6
187,0.3,1229,0.03515,25,97,87,84,TL7
188,5.8,1770,0.03969,35,87,74,67,TL8
189,6.65,1733,0.03372,35,164,134,108,TL9
201,1.5,1653,0.02224,25,144,145,122,SB1
202,4.5,1884,0.01829,25,107,114,107,SB2
203,5.5,1935,0.01345,25,128,124,100,SB3
204,5.25,1907,0.00744,25,195,191,160,SB4
-9999,0,0,0,0,255,255,255,NoData
